type,data_type,purpose,count
data_shared,Other audio files,Personalization,10
data_shared,Other audio files,Account management,6
data_shared,Files and docs,Developer communications,27
data_shared,Files and docs,Advertising or marketing,30
data_shared,Files and docs,Personalization,30
data_shared,Files and docs,Account management,43
data_shared,Calendar events,Analytics,18
data_shared,Calendar events,Developer communications,12
data_shared,Calendar events,Advertising or marketing,12
data_shared,Calendar events,"Fraud prevention, security, and compliance",9
data_shared,Calendar events,Personalization,16
data_shared,Calendar events,Account management,11
data_shared,Contacts,Analytics,43
data_shared,Contacts,Developer communications,11
data_shared,Contacts,Advertising or marketing,36
data_shared,Contacts,"Fraud prevention, security, and compliance",17
data_shared,Contacts,Personalization,16
data_shared,Contacts,Account management,38
data_shared,In-app search history,Account management,31
data_shared,Installed apps,Developer communications,73
data_shared,Web browsing history,Personalization,47
data_collected,Race and ethnicity,Developer communications,11
data_collected,Political or religious beliefs,Developer communications,7
data_collected,Credit score,Advertising or marketing,10
data_collected,Credit score,Personalization,14
data_collected,Health info,Developer communications,27
data_collected,Other audio files,Developer communications,9
data_collected,Other audio files,Advertising or marketing,7
data_collected,Other audio files,Personalization,43
data_collected,SMS or MMS,Analytics,33
data_collected,SMS or MMS,Developer communications,31
data_collected,SMS or MMS,Personalization,17
data_shared,SMS or MMS,Analytics,11
data_shared,SMS or MMS,Advertising or marketing,13
data_shared,SMS or MMS,"Fraud prevention, security, and compliance",16
data_shared,SMS or MMS,Personalization,9
data_shared,SMS or MMS,Developer communications,16
